epoch,train_loss,lr
1,0.3251636683940887,0.0009997535269026829
2,0.18544848213593165,0.0009990143508499217
3,0.17281023965527614,0.0009977832013192385
4,0.14794439872105916,0.0009960612933065818
5,0.11160670618216197,0.0009938503261272714
6,0.10138875941435496,0.00099115248173898
7,0.0936811521028479,0.0009879704225884043
8,0.10541776505609353,0.0009843072889837512
9,0.09689805613209804,0.000980166695995633
10,0.0820600563970705,0.0009755527298894294
11,0.076235028821975,0.0009704699440926358
12,0.07166953533887863,0.0009649233547011817
13,0.06458063169072072,0.0009589184355291487
14,0.050795749047150215,0.000952461112706777
15,0.06565436789145072,0.00094555775883209
16,0.06938151524712642,0.0009382151866819101
17,0.0537011932892104,0.0009304406424884702
18,0.07212889147922397,0.000922241798788257
19,0.0671558207521836,0.0009136267468501441
20,0.06327434921016296,0.0009046039886902867
21,0.05423995330929756,0.0008951824286816577
22,0.052733663003891706,0.0008853713647665071
23,0.0565205086953938,0.0008751804792804149
24,0.0572109542787075,0.0008646198293969954
